rainfall_mm,slope_deg,elevation_m,soil_moisture,historical_events,infrastructure_density,landslide_risk
52.65,52.09,4985.21,84.43,8,32.79,0
143.24,56.47,534.15,44.52,7,75.38,0
90.58,44.76,557.18,68.83,11,23.63,1
205.82,55.77,4939.01,79.29,11,11.74,0
88.51,38.8,1595.64,22.02,2,45.5,0
273.84,46.65,4509.97,84.3,12,24.75,1
261.94,9.5,2733.74,73.34,1,91.72,0
60.65,34.52,1322.69,86.9,7,11.62,1
174.94,10.0,3051.88,82.78,7,13.19,0
201.83,21.95,608.85,32.9,0,74.58,0
13.59,23.95,818.8,99.47,1,98.61,1
40.63,40.28,4146.45,96.74,5,99.29,1
260.89,54.87,2378.23,71.45,10,87.46,1
297.85,26.62,1136.74,98.09,0,75.62,0
138.9,44.55,2620.64,44.13,3,24.75,0
217.51,11.21,4547.39,47.73,12,93.62,0
72.2,8.7,3469.72,50.18,10,70.33,1
70.3,16.95,4818.65,15.08,8,99.35,1
274.92,36.69,3387.37,79.53,5,23.69,1
124.07,20.13,3283.59,63.25,11,91.16,0
128.16,32.26,5361.45,94.74,10,38.12,1
89.97,15.11,3189.64,31.69,3,30.07,0
241.73,55.31,3311.93,97.1,8,53.0,1
23.72,29.74,2355.39,58.21,3,5.15,1
181.49,7.18,863.92,82.42,9,72.43,0
99.89,57.64,576.67,94.34,11,11.73,0
143.68,18.34,3522.01,28.41,3,55.21,0
107.78,19.39,3064.08,54.75,1,80.28,0
228.49,22.61,1515.64,38.16,0,56.25,1
280.43,36.85,2587.89,23.72,5,23.0,1
73.72,35.29,5217.32,40.38,12,82.16,1
50.47,48.72,1346.33,74.83,7,18.4,0
297.1,57.65,3119.72,85.52,1,94.52,1
252.76,17.73,4035.85,10.82,8,45.6,1
191.32,56.36,5063.76,69.34,0,0.66,1
82.42,58.76,585.71,83.18,10,43.06,0
53.78,55.49,3121.93,31.69,9,52.65,1
111.92,27.33,3325.01,99.12,3,30.0,0
24.19,59.54,3749.47,12.85,6,37.93,1
51.42,32.49,2669.55,80.59,9,97.73,0
268.44,55.55,1648.83,91.11,11,88.76,1
277.68,54.46,3317.55,12.96,5,1.57,1
43.26,50.14,4604.51,93.6,4,16.25,1
268.96,23.25,4278.05,22.6,11,72.42,1
292.3,7.95,2685.44,85.48,5,60.52,0
97.91,39.88,4417.74,50.55,3,35.58,0
129.55,42.38,3803.36,17.71,9,29.54,1
114.0,48.11,1271.38,45.07,5,10.66,1
92.48,24.8,1848.83,21.93,2,43.1,1
26.89,35.48,3484.62,80.6,6,1.23,1
233.75,44.87,3297.68,99.35,3,57.2,1
90.34,32.12,816.34,49.12,6,29.98,0
108.34,56.93,4104.5,54.62,9,19.55,0
99.67,39.11,4520.38,39.66,5,43.06,0
195.31,37.69,2002.18,64.29,11,20.09,0
87.43,43.22,2955.04,61.83,3,32.59,1
235.76,25.08,5160.34,27.98,8,17.99,0
282.89,16.53,4488.43,84.82,1,81.9,0
122.74,32.46,3666.68,31.78,10,15.41,1
179.38,37.02,3171.84,93.11,11,41.83,1
290.53,43.59,4561.48,63.44,1,10.94,1
183.8,35.98,3725.16,68.21,12,33.16,0
31.78,10.42,1610.01,77.22,8,58.05,1
231.7,37.37,3002.33,41.05,0,48.28,1
276.16,9.72,4656.59,75.71,5,31.19,1
142.85,29.1,3983.82,38.7,4,4.47,0
6.78,23.87,1046.81,82.0,11,24.39,1
287.54,17.75,2525.24,26.6,10,65.73,1
221.22,53.57,2747.88,48.66,0,70.47,0
18.77,10.6,4859.9,26.83,5,19.71,1
201.21,31.92,5329.58,38.21,6,61.13,0
185.21,49.76,4029.94,36.77,9,59.02,0
93.96,18.12,1084.74,43.6,2,51.08,1
55.73,39.95,3967.16,68.07,2,55.49,1
42.09,22.3,2755.0,14.83,5,95.18,1
168.47,40.92,2545.67,54.26,11,83.99,1
24.8,6.7,4305.28,36.29,4,22.48,0
231.76,32.24,3054.03,61.54,4,77.51,0
110.06,50.24,708.05,74.71,8,21.85,0
74.26,53.11,661.15,33.65,1,43.91,0
232.69,18.03,4553.51,62.91,5,86.1,0
235.45,49.74,4527.2,61.31,8,28.11,1
97.1,43.72,1946.67,34.06,8,98.55,0
235.71,55.53,5462.43,88.03,2,70.14,1
43.87,22.72,1737.77,85.92,6,48.95,1
135.6,39.85,4900.63,18.38,8,74.98,0
263.2,30.01,2940.22,62.38,12,84.72,1
209.19,51.76,4478.39,45.79,6,82.48,1
96.86,20.6,3236.55,21.75,7,78.83,1
187.85,51.02,581.41,93.65,2,44.13,1
287.41,16.13,3942.96,21.87,10,30.19,1
108.13,9.53,3822.54,68.4,0,39.63,1
209.83,17.88,3777.43,73.33,0,21.34,1
133.52,5.44,2217.87,20.85,6,69.4,1
68.68,9.91,4529.78,19.29,5,88.1,0
39.94,59.61,1214.27,57.75,0,61.03,1
105.36,16.72,4241.34,92.79,9,68.66,1
225.73,37.43,2420.16,96.69,5,79.11,1
193.39,18.65,3505.0,74.91,4,77.9,0
90.49,33.48,3047.61,77.31,4,64.62,0
238.13,18.16,2429.43,31.7,10,59.39,0
280.18,12.26,4804.07,61.15,5,54.64,1
141.3,59.31,864.96,62.86,0,26.22,0
151.98,39.57,3005.24,47.39,11,40.23,1
161.3,13.4,917.99,17.11,3,97.43,0
228.97,40.74,3715.77,37.92,6,73.0,0
17.37,9.74,2672.42,50.8,9,5.5,1
3.8,12.55,556.75,54.68,5,52.3,0
216.23,14.18,1134.65,80.3,4,73.29,1
128.8,33.81,1814.75,97.75,10,7.71,1
108.04,32.48,3334.43,43.09,4,77.33,1
222.23,5.14,4793.45,11.11,0,47.18,1
45.03,56.21,4787.43,59.76,11,74.07,1
216.09,19.92,889.44,43.55,8,67.33,1
66.96,33.37,729.64,46.08,7,86.6,1
137.02,25.29,1957.98,80.61,11,62.27,1
177.51,32.13,4363.07,27.59,8,76.05,1
69.9,24.05,4697.87,88.95,5,0.15,0
254.7,45.0,1019.75,57.68,3,41.98,1
83.95,7.41,1657.36,86.1,6,70.08,1
292.37,9.67,977.89,22.02,6,7.48,0
71.03,19.35,2075.04,82.07,11,83.19,1
135.83,17.85,5217.77,22.25,12,58.47,1
121.95,34.48,5323.17,28.69,4,46.33,0
27.13,49.42,2021.07,73.42,9,4.03,1
74.47,24.57,3067.3,70.95,4,82.01,1
285.63,52.0,3279.77,59.51,1,46.2,1
249.11,59.04,1153.58,84.13,5,68.63,0
25.21,37.24,5087.14,16.75,1,19.78,1
254.18,49.49,1112.64,94.81,0,16.8,0
246.51,26.72,647.41,71.49,2,35.39,1
44.59,38.78,3584.89,68.26,7,41.2,0
18.29,20.39,1186.18,27.95,12,52.58,0
296.82,48.01,2295.56,59.01,7,34.4,1
96.48,19.87,630.31,63.74,0,89.58,0
158.83,47.18,5498.03,97.66,1,24.79,1
160.11,48.52,4185.3,78.76,3,57.57,0
297.46,14.55,1682.76,38.62,11,69.76,0
8.46,43.53,5237.79,60.72,9,94.84,0
162.64,14.66,689.82,15.06,9,21.88,0
0.21,55.48,1507.32,21.74,11,17.75,1
44.31,43.76,1208.26,19.98,8,86.07,0
112.08,56.81,2477.98,19.09,4,32.26,1
191.78,31.8,2086.42,73.65,8,69.36,0
236.1,17.28,3444.75,25.78,4,73.4,1
210.6,36.51,4753.78,79.37,9,3.24,1
276.31,58.21,1604.48,60.9,7,14.06,0
50.37,53.69,943.63,73.81,10,72.93,1
3.42,16.53,3965.88,41.54,12,10.8,0
290.73,53.65,2965.41,44.08,8,37.53,0
236.62,36.79,4291.22,30.3,7,7.37,1
285.5,9.08,1350.53,43.79,11,7.5,0
293.41,23.59,5426.38,90.39,11,3.1,0
47.13,10.57,1527.75,27.1,11,55.41,0
162.04,41.33,1987.0,18.63,6,57.18,1
128.28,21.2,3810.1,64.02,3,9.7,1
191.46,58.74,2867.85,20.4,12,39.75,1
163.24,15.17,4927.46,43.25,7,4.46,1
79.02,51.04,3321.23,23.6,11,66.75,1
291.21,37.43,3268.01,85.67,8,41.86,1
260.07,31.12,4908.27,52.86,1,39.48,1
155.05,36.43,5413.77,23.27,12,44.9,0
50.15,16.65,1463.63,13.84,1,98.83,0
250.23,19.18,5054.02,92.28,1,8.7,1
165.62,52.11,3098.44,92.54,0,78.66,1
124.33,13.15,3439.67,78.25,1,92.49,0
30.3,20.74,3178.17,40.95,6,26.41,0
51.66,27.16,3591.22,71.27,6,3.88,0
99.45,18.07,4228.75,92.88,5,2.02,1
147.49,43.29,991.09,88.2,2,30.05,0
232.21,22.65,4144.0,64.45,1,18.79,0
227.85,52.7,4605.09,56.37,2,6.56,1
121.02,47.93,3121.43,61.18,2,19.28,1
136.93,55.49,4023.17,34.66,7,50.51,0
37.16,6.68,2362.33,63.46,2,96.05,1
251.3,19.23,4654.35,18.14,0,38.66,1
171.68,58.07,4785.56,68.26,10,20.67,0
290.14,42.52,2870.49,21.91,2,60.11,1
75.72,49.28,2027.3,97.03,10,27.54,1
65.46,21.62,3103.19,66.12,9,10.23,0
198.71,51.38,2371.15,68.26,9,28.27,1
82.94,22.88,1884.42,69.05,10,29.88,1
229.64,54.48,4527.15,82.21,9,40.41,1
149.21,21.26,5034.56,46.41,11,3.53,0
171.61,15.45,4132.75,30.01,8,63.83,1
90.06,14.35,3788.07,60.24,4,9.76,1
77.6,49.46,4314.59,26.48,10,89.96,1
261.43,28.13,4934.22,43.45,9,29.41,0
141.16,52.65,3417.87,94.99,1,47.22,0
158.95,27.72,4854.25,23.57,3,34.27,0
267.85,59.27,1216.12,87.62,2,77.89,1
190.35,5.26,1867.64,78.51,2,57.63,1
235.56,47.89,1147.03,49.03,6,40.34,1
59.82,25.52,570.39,39.0,8,19.06,0
188.01,18.69,3967.62,40.99,2,10.27,1
13.72,57.17,2779.63,56.83,8,33.78,0
298.64,23.85,5006.92,42.33,3,16.49,1
67.3,59.17,1555.95,11.97,8,16.9,1
195.16,7.05,4882.72,33.02,8,62.31,1
250.84,7.65,1078.95,49.99,1,54.73,1
45.94,43.24,3651.56,37.1,10,10.1,0
125.65,54.42,3057.92,65.59,4,11.4,1
59.59,15.99,1814.97,57.08,3,35.79,0
273.11,42.85,2903.32,31.11,0,67.16,0
250.57,41.8,1245.72,18.11,8,7.5,0
137.03,58.75,1820.63,14.51,2,87.41,0
108.06,42.22,2629.98,20.43,12,89.03,1
98.6,54.2,5275.45,34.15,11,9.3,0
54.86,27.04,5311.55,34.46,6,68.99,0
50.03,12.29,4132.06,98.34,2,10.37,0
144.8,36.29,2690.81,65.02,12,35.86,0
292.03,12.19,5101.99,20.16,6,44.07,1
196.49,5.68,4841.66,57.23,11,57.66,0
101.49,33.77,4002.9,18.57,10,72.67,1
199.11,40.28,1243.27,84.38,9,5.46,0
255.56,52.82,874.33,54.25,3,33.09,1
152.08,35.28,2393.19,83.54,1,45.91,0
134.12,11.53,2986.87,68.8,1,40.34,1
164.73,50.42,4458.92,96.69,10,30.46,1
285.11,24.98,771.38,30.06,7,33.2,0
179.99,44.42,2316.47,50.73,1,75.93,0
289.33,21.06,3109.93,73.19,0,89.69,1
246.55,45.84,2546.05,32.89,3,18.75,1
234.43,44.42,1038.83,47.3,10,83.75,1
231.64,29.78,3792.28,96.06,2,96.39,1
129.84,37.18,5121.85,80.3,2,69.18,1
244.57,10.7,3787.61,64.55,5,50.41,0
228.71,20.05,5317.97,97.34,7,80.48,1
180.76,53.75,3061.47,85.88,8,86.07,1
60.27,39.33,1952.9,41.08,10,13.27,0
292.55,14.78,3212.46,67.32,11,11.54,1
200.15,27.96,4239.34,85.73,4,87.75,1
3.83,10.86,2404.35,14.78,0,19.99,1
75.17,51.17,3952.97,36.56,12,54.12,1
135.78,38.89,3877.63,60.57,3,74.24,0
239.65,20.82,3822.47,93.38,6,41.66,0
205.54,58.12,769.01,76.93,3,62.06,0
273.45,43.75,3738.16,77.96,8,73.85,1
217.47,15.64,2744.07,98.51,1,18.7,1
128.55,35.61,1150.33,62.56,4,0.56,1
281.25,7.2,5143.14,63.72,12,93.24,1
171.8,24.69,4420.16,38.61,3,95.7,0
235.88,13.77,3215.4,46.31,5,22.12,1
65.53,46.4,3152.49,99.7,12,98.11,1
200.68,29.51,5022.48,65.23,9,24.38,1
238.86,11.24,1782.95,75.16,0,91.13,0
112.49,49.15,2727.78,13.95,10,19.25,1
286.88,34.59,536.65,15.89,10,62.95,1
205.62,50.96,1527.9,84.59,11,77.52,0
46.13,30.26,2158.58,17.88,0,17.8,1
21.13,50.19,5054.93,46.69,7,63.02,0
160.45,40.28,3591.75,78.04,9,4.55,0
107.31,32.66,1949.18,71.73,9,8.65,1
198.22,31.07,3167.34,22.27,6,79.68,0
88.49,39.87,1990.28,89.83,12,86.71,1
262.43,12.78,708.87,61.54,6,53.72,0
91.41,46.16,5017.73,40.95,6,90.56,1
185.07,18.9,1073.11,70.39,9,85.23,0
279.71,59.69,2806.33,59.47,4,67.17,1
285.46,24.64,3856.48,31.11,4,61.95,0
95.34,29.79,3581.71,37.51,9,15.24,0
50.59,22.23,4428.3,74.1,10,43.61,0
40.29,45.31,4889.43,51.66,5,77.48,0
24.59,20.43,4632.22,90.22,3,26.32,0
22.94,9.15,593.15,55.65,0,81.26,1
11.0,19.33,4969.93,58.57,10,77.52,1
66.99,47.47,4166.13,36.19,7,50.11,1
71.66,58.02,5409.27,71.57,12,51.41,1
53.74,57.18,3797.07,97.1,11,73.2,0
69.52,19.54,1670.09,70.17,8,90.77,1
140.9,30.01,732.19,98.25,5,10.32,1
222.57,36.82,3350.8,43.9,6,36.53,0
250.64,33.42,2381.64,91.65,8,40.58,0
266.15,5.36,4910.17,49.59,3,7.71,0
63.46,15.28,2311.11,74.56,1,66.11,1
202.57,31.35,3453.95,68.25,6,2.24,1
172.05,13.86,3647.7,13.53,9,14.69,1
121.64,58.31,3688.11,89.07,11,66.17,1
25.72,29.71,5463.88,88.06,2,21.94,0
230.25,39.28,3054.02,25.09,10,34.27,1
177.18,17.64,2427.31,19.77,3,52.27,0
181.65,14.76,5008.04,63.98,12,53.14,0
27.96,41.27,5009.92,58.54,0,89.7,0
111.11,7.39,3149.08,30.65,12,48.21,0
105.16,49.25,5039.29,85.35,9,9.77,1
257.72,20.58,4883.83,46.78,3,0.55,0
2.13,33.74,3098.81,43.75,3,68.78,1
195.47,18.95,4774.88,48.12,5,61.19,0
119.24,16.2,3260.52,60.18,2,37.02,1
103.31,43.8,4178.91,86.95,10,11.91,1
234.93,57.21,1001.39,55.75,12,33.84,0
48.22,58.05,526.45,18.2,2,47.17,0
26.44,19.47,2354.18,64.81,11,38.43,1
213.48,37.86,5228.58,83.82,10,49.44,1
255.17,56.19,3090.77,27.53,12,59.95,1
10.82,18.16,501.44,24.17,4,77.97,1
118.54,37.23,3088.71,76.32,1,91.92,0
174.88,24.11,4577.57,30.37,3,45.48,1
1.4,14.63,3031.19,60.28,8,29.43,0
262.83,49.72,3374.47,72.48,6,56.32,0
227.24,57.87,2794.24,51.46,9,86.2,1
236.6,17.12,4005.88,82.01,6,95.54,1
2.92,50.77,1741.29,18.37,10,74.88,1
94.16,17.02,3368.56,26.45,11,68.31,0
149.7,15.98,4177.15,88.55,3,22.92,1
233.68,11.59,892.44,96.02,7,61.38,0
162.44,7.32,2911.46,65.86,7,89.81,1
54.86,47.03,3055.67,45.81,12,57.67,1
239.78,31.31,3203.84,55.22,6,86.04,1
155.46,22.36,542.09,70.67,6,58.1,1
183.83,19.28,3242.82,31.34,7,95.85,1
125.73,46.37,2325.39,46.05,7,17.99,1
172.77,17.57,999.35,34.3,3,55.53,0
221.56,31.01,548.71,47.94,2,99.56,0
